Run: 132, exploration: 0.27500195491673707, score: 0, Q_value: 4.188643932342529, Reward : -8.100000381469727
Run: 133, exploration: 0.27365767429982024, score: 0, Q_value: 4.042690277099609, Reward : -8.100000381469727
Run: 134, exploration: 0.27231996487392496, score: 0, Q_value: 4.090617656707764, Reward : -6.90000057220459
Run: 135, exploration: 0.27098879451737146, score: 0, Q_value: 4.122416019439697, Reward : -8.100000381469727
Run: 136, exploration: 0.269664131265499, score: 0, Q_value: 4.051847457885742, Reward : -8.100000381469727
Run: 137, exploration: 0.2683459433098984, score: 0, Q_value: 4.024287223815918, Reward : -7.500000953674316
Run: 138, exploration: 0.2670341989976482, score: 0, Q_value: 4.022890567779541, Reward : -8.100000381469727
Run: 139, exploration: 0.2657288668305547, score: 0, Q_value: 4.030734062194824, Reward : -7.500000953674316
Run: 140, exploration: 0.26442991546439554, score: 0, Q_value: 3.9510247707366943, Reward : -8.100000381469727
Run: 141, exploration: 0.26313731370816684, score: 0, Q_value: 4.104360580444336, Reward : -8.100000381469727
Run: 142, exploration: 0.26185103052333447, score: 0, Q_value: 4.245253562927246, Reward : -8.100000381469727
Run: 143, exploration: 0.2605710350230888, score: 0, Q_value: 4.269801139831543, Reward : -6.30000114440918
Run: 144, exploration: 0.2592972964716028, score: 0, Q_value: 4.195566177368164, Reward : -8.100000381469727
Run: 145, exploration: 0.2580297842832941, score: 0, Q_value: 4.271139621734619, Reward : -7.500000953674316
Run: 146, exploration: 0.25676846802209063, score: 0, Q_value: 4.150349140167236, Reward : -8.100000381469727
Run: 147, exploration: 0.2555133174006995, score: 0, Q_value: 4.16991662979126, Reward : -7.500000953674316
Run: 148, exploration: 0.2542643022798804, score: 0, Q_value: 4.046226978302002, Reward : -6.30000114440918
Run: 149, exploration: 0.25302139266772095, score: 0, Q_value: 4.122604846954346, Reward : -7.500000953674316
Run: 150, exploration: 0.2517845587189171, score: 0, Q_value: 4.156086444854736, Reward : -8.100000381469727
Run: 151, exploration: 0.25055377073405616, score: 0, Q_value: 4.242872714996338, Reward : -8.100000381469727
Run: 152, exploration: 0.24932899915890436, score: 0, Q_value: 4.155497074127197, Reward : -6.90000057220459
Run: 153, exploration: 0.24811021458369636, score: 0, Q_value: 4.185502052307129, Reward : -8.100000381469727
Run: 154, exploration: 0.24689738774242936, score: 0, Q_value: 4.304989814758301, Reward : -8.100000381469727
Run: 155, exploration: 0.24569048951216052, score: 0, Q_value: 4.243764877319336, Reward : -7.500000953674316
Run: 156, exploration: 0.24448949091230712, score: 0, Q_value: 4.1960225105285645, Reward : -7.500000953674316
Run: 157, exploration: 0.24329436310395117, score: 0, Q_value: 4.140668869018555, Reward : -7.500000953674316
Run: 158, exploration: 0.24210507738914686, score: 0, Q_value: 4.01075553894043, Reward : -7.500000953674316
Run: 159, exploration: 0.24092160521023145, score: 0, Q_value: 3.993070125579834, Reward : -7.500000953674316
Run: 160, exploration: 0.2397439181491391, score: 0, Q_value: 3.989976167678833, Reward : -6.90000057220459
Run: 161, exploration: 0.2385719879267189, score: 0, Q_value: 4.060122489929199, Reward : -7.500000953674316
Run: 162, exploration: 0.237405786402056, score: 0, Q_value: 4.122623443603516, Reward : -6.30000114440918
Run: 163, exploration: 0.2362452855717955, score: 0, Q_value: 4.162378311157227, Reward : -7.500000953674316
Run: 164, exploration: 0.23509045756947003, score: 0, Q_value: 4.177251815795898, Reward : -6.30000114440918
Run: 165, exploration: 0.23394127466483075, score: 0, Q_value: 4.145824909210205, Reward : -6.90000057220459
Run: 166, exploration: 0.23279770926318144, score: 0, Q_value: 4.073493957519531, Reward : -6.90000057220459
Run: 167, exploration: 0.23165973390471592, score: 0, Q_value: 4.230563163757324, Reward : -8.100000381469727
Run: 168, exploration: 0.2305273212638586, score: 0, Q_value: 3.9547204971313477, Reward : -6.90000057220459
Run: 169, exploration: 0.2294004441486084, score: 0, Q_value: 3.995757818222046, Reward : -8.100000381469727
Run: 170, exploration: 0.22827907549988574, score: 0, Q_value: 4.09476375579834, Reward : -6.90000057220459
Run: 171, exploration: 0.22716318839088298, score: 0, Q_value: 4.106780529022217, Reward : -7.500000953674316
Run: 172, exploration: 0.22605275602641736, score: 0, Q_value: 4.040011882781982, Reward : -7.500000953674316
Run: 173, exploration: 0.22494775174228818, score: 0, Q_value: 3.9765853881835938, Reward : -8.100000381469727
Run: 174, exploration: 0.22384814900463593, score: 0, Q_value: 4.096332550048828, Reward : -7.500000953674316
Run: 175, exploration: 0.22275392140930583, score: 0, Q_value: 4.081408500671387, Reward : -7.500000953674316
Run: 176, exploration: 0.22166504268121331, score: 0, Q_value: 4.297313213348389, Reward : -7.500000953674316
Run: 177, exploration: 0.22058148667371302, score: 0, Q_value: 4.0759758949279785, Reward : -8.100000381469727
Run: 178, exploration: 0.21950322736797126, score: 0, Q_value: 4.036229133605957, Reward : -7.500000953674316
Run: 179, exploration: 0.21843023887234125, score: 0, Q_value: 4.072357654571533, Reward : -8.100000381469727
Run: 180, exploration: 0.21736249542174124, score: 0, Q_value: 3.982260227203369, Reward : -7.500000953674316
Run: 181, exploration: 0.2162999713770357, score: 0, Q_value: 4.0085768699646, Reward : -7.500000953674316
Run: 182, exploration: 0.21524264122441983, score: 0, Q_value: 4.029254913330078, Reward : -7.500000953674316
Run: 183, exploration: 0.21419047957480702, score: 0, Q_value: 4.089098930358887, Reward : -7.500000953674316
Run: 184, exploration: 0.2131434611632192, score: 0, Q_value: 4.177387714385986, Reward : -5.700000762939453
Run: 185, exploration: 0.21210156084817966, score: 0, Q_value: 4.17280387878418, Reward : -8.100000381469727
Run: 186, exploration: 0.21106475361111007, score: 0, Q_value: 4.1249823570251465, Reward : -7.500000953674316
Run: 187, exploration: 0.21003301455572926, score: 0, Q_value: 4.186134338378906, Reward : -7.500000953674316
Run: 188, exploration: 0.20900631890745536, score: 0, Q_value: 4.063884258270264, Reward : -6.90000057220459
Run: 189, exploration: 0.2079846420128112, score: 0, Q_value: 3.9695634841918945, Reward : -7.500000953674316
Run: 190, exploration: 0.20696795933883222, score: 0, Q_value: 4.110646724700928, Reward : -7.500000953674316
Run: 191, exploration: 0.20595624647247743, score: 0, Q_value: 4.126670837402344, Reward : -6.90000057220459
Run: 192, exploration: 0.20494947912004272, score: 0, Q_value: 3.9989213943481445, Reward : -8.100000381469727
Run: 193, exploration: 0.2039476331065784, score: 0, Q_value: 4.039543151855469, Reward : -8.100000381469727
Run: 194, exploration: 0.2029506843753077, score: 0, Q_value: 4.089416980743408, Reward : -6.90000057220459
Run: 195, exploration: 0.2019586089870497, score: 0, Q_value: 4.120865821838379, Reward : -8.100000381469727
Run: 196, exploration: 0.20097138311964471, score: 0, Q_value: 4.229353427886963, Reward : -5.700000762939453
Run: 197, exploration: 0.19998898306738158, score: 0, Q_value: 4.136341571807861, Reward : -7.500000953674316
Run: 198, exploration: 0.1990113852404289, score: 0, Q_value: 4.155086040496826, Reward : -8.100000381469727
Run: 199, exploration: 0.19803856616426835, score: 0, Q_value: 4.295657157897949, Reward : -8.100000381469727
Run: 200, exploration: 0.19707050247913124, score: 0, Q_value: 4.197835922241211, Reward : -8.100000381469727
Run: 201, exploration: 0.19610717093943755, score: 0, Q_value: 4.057788848876953, Reward : -8.100000381469727
Run: 202, exploration: 0.19514854841323745, score: 0, Q_value: 4.00088357925415, Reward : -6.90000057220459
Run: 203, exploration: 0.19419461188165618, score: 0, Q_value: 4.128215789794922, Reward : -7.500000953674316
Run: 204, exploration: 0.19324533843834119, score: 0, Q_value: 4.119165897369385, Reward : -8.100000381469727
Run: 205, exploration: 0.19230070528891202, score: 0, Q_value: 4.02340841293335, Reward : -8.100000381469727
Run: 206, exploration: 0.19136068975041307, score: 0, Q_value: 4.3448286056518555, Reward : -7.500000953674316
Run: 207, exploration: 0.1904252692507692, score: 0, Q_value: 4.240865707397461, Reward : -7.500000953674316
Run: 208, exploration: 0.18949442132824276, score: 0, Q_value: 4.057468414306641, Reward : -6.90000057220459
Run: 209, exploration: 0.18856812363089528, score: 0, Q_value: 4.094147205352783, Reward : -7.500000953674316
Run: 210, exploration: 0.1876463539160505, score: 0, Q_value: 4.04074239730835, Reward : -6.90000057220459
Run: 211, exploration: 0.18672909004975968, score: 0, Q_value: 4.004220008850098, Reward : -7.500000953674316
Run: 212, exploration: 0.18581631000627094, score: 0, Q_value: 4.0579752922058105, Reward : -7.500000953674316
Run: 213, exploration: 0.18490799186749965, score: 0, Q_value: 4.100470542907715, Reward : -6.90000057220459
Run: 214, exploration: 0.18400411382250276, score: 0, Q_value: 3.9390273094177246, Reward : -7.500000953674316
Run: 215, exploration: 0.18310465416695454, score: 0, Q_value: 3.995978355407715, Reward : -5.100001335144043
Run: 216, exploration: 0.18220959130262548, score: 0, Q_value: 4.132875919342041, Reward : -6.90000057220459
Run: 217, exploration: 0.18131890373686405, score: 0, Q_value: 4.1901373863220215, Reward : -5.700000762939453
Run: 218, exploration: 0.1804325700820802, score: 0, Q_value: 4.184485912322998, Reward : -6.30000114440918
Run: 219, exploration: 0.17955056905523206, score: 0, Q_value: 4.069327354431152, Reward : -7.500000953674316
Run: 220, exploration: 0.17867287947731472, score: 0, Q_value: 4.22457218170166, Reward : -6.30000114440918
Run: 221, exploration: 0.17779948027285178, score: 0, Q_value: 3.844738483428955, Reward : -6.90000057220459
Run: 222, exploration: 0.17693035046938912, score: 0, Q_value: 4.115860462188721, Reward : -7.500000953674316
Run: 223, exploration: 0.17606546919699126, score: 0, Q_value: 4.127099990844727, Reward : -7.500000953674316
